Row Labels,sample date,"1,2,3-Trichlorobenzene","1,2,4-Trichlorobenzene",Acenaphthene,Acenaphthylene,AGOC-3A,Alachlor,Aldrin,alpha-Hexachlorocyclohexane,Aluminium,Ammonium,Anionic active surfactants,Anthracene,AOX,Arsenic,Atrazine,Barium,Benzo(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,"Benzo(g,h,i)perylene",Benzo(k)fluoranthene,Berilium,beta-Hexaxchlorocyclohexane,Bicarbonates,Biochemical Oxygen,Boron,Cadmium,Calcium,Carbonates,Cesium,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),Chlorides,Chlorodinine,Chromium,Chrysene,Copper,Cyanides,Dieldrin,Dissolved organic carbon,Dissolved oxygen,Dissolved silicates,Endosulfan (alpha),Endosulfan (beta),Endrin,Fecal coliforms,Fecal streptococci ,Fluoranthene,Fluorene,gamma-Hexachlorocyclohexane,Heptachlor,Heptachloroepoxide,Hexachlorobenzene,"Indeno(1,2,3-c,d)pyrene",Inorganic nitrogen,Iron,Isodrin,Lead,Macrozoobenthos,Magnesium,Manganese,Mercury,Methoxychlor,Methylosmoline,Metolachlor,Naphthalene,Nickel,Nitrates,Nitrites,Organic nitrogen,Orthophosphate-phosphorus,Oxygen saturation,"p,p-DDD","p,p-DDE","p,p-DDT",PAHs,PCB 101,PCB 118,PCB 138,PCB 153,PCB 180,PCB 28,PCB 52,Pentachlorobenzene,Petroleum hydrocarbons,Phenanthrene,Potassium,Pyrene,Selenium,Silica (SiO2),Simazine,Sodium,Sulfides,Sulphates,Tetrachloromethane,Total coliforms,Total dissolved phosphorus,Total dissolved salts,Total extractable matter,Total hardness,Total nitrogen,Total organic carbon,Total phosphorus,Trifluralin,Water temperature,Zinc
Achara,1/15/2009,,,,,,,,,,0.552,0.034,,,0.5,,,,,,,,,,134.2,2.3,,0.3,47.4,,,7,3,11.9,,0.5,,2.4,0.0025,,,10.9,,,,,,,,,,,,,,,0.2,,0.5,,7.1,0.18,,,,,,1,1.377,0.003,0.61,0.1267,,,,,,,,,,,,,,0.05,,,,,,,10.9,,31.1,,16090,,206,,,1.99,,0.13,,6.5,26
Achara,2/13/2009,,,,,,,,,,0.086,0.034,,,0.5,,,,,,,,,,91.5,3,,0.3,25.9,,,13,3.4,5.8,,0.6,,8.4,0.0025,,,11.7,8.69,,,,,,,,,,,,,,0.38,,1.7,,4.8,0.1,,,,,,2.6,0.709,0.03,0.536,0.0133,,,,,,,,,,,,,,0.033,,,,,,,5.2,,18.6,,175,,119,,,1.05,,0.05,,5.5,18
Achara,3/19/2009,,,,,,,,,,0.07,0.034,,,0.5,,,,,,,,,,97.6,1.7,,0.3,34.6,,,5.3,5,6.9,,0,,14.9,0.0025,,,11.9,7.86,,,,,,,,,,,,,,0.2,,0.5,,7,0.05,,,,,,0.5,0.619,0.015,0.462,0.0167,,,,,,,,,,,,,,0.025,,,,,,,6.2,,17.9,,170,,236,,,0.9,,0.05,,13,5
Achara,4/17/2009,,,,,,,,,,0.125,0.034,,,1.7,,,,,,,,,,109.8,2,,0.3,38.2,,,6,0,8.7,,0.7,,5.3,0.0025,,,11.3,5.35,,,,,,,,,,,,,,0.12,,0.5,,4.5,0.04,0.5,,,,,1.5,1.08,0.027,0.721,0.0992,,,,,,,,,,,,,,0.01,,,,,,,8,,23.2,,,,150,,,1.53,,0.13,,16,5
Achara,5/17/2009,,,,,,,,,,0.211,,,,,,,,,,,,,,122,2.4,,,,,,7,0,,,,,,0.0025,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.802,0.21,1.765,0.225,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,199,,,2.85,,0.32,,21,11
Achara,6/12/2009,,,,,,,,,,0.016,0.034,,,0.5,,,,,,,,,,122,2.2,,0.3,,,,7,3.7,,,0,,2.9,0.0025,,,9,,,,,,,,,,,,,,,0.24,,0.5,,,0.9,,,,,,1,1.106,0.033,0.326,0.1142,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,201,,,1.26,,0.2,,26,12
Achara,7/11/2009,,,,,,,,,,0.039,0.034,,,1.4,,,,,,,,,,109.8,2.4,,0.3,,,,8,0,,,0.6,,9.9,0.0025,,,7.1,,,,,,,,,,,,,,,0.19,,1.6,,,0.11,,,,,,1.8,0.255,0.046,1.179,0.127,,,,,,,,,,,,,,0.018,,,,,,,,,,,,,174,,,0.9,,0.17,,22,20
Achara,7/18/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,,,,
Achara,8/13/2009,,,,,,,,,,0.093,,,,,,,,,,,,,,115.9,2.3,,,,,,8,4,,,,,,0.0025,,,6.4,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,1.975,0.055,1.127,0.153,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,188,,,2.64,,0.2,,21,38
Achara,9/10/2009,,,,,,,,,,0.132,,,,,,,,,,,,,,115.9,2.1,,,,,,7,0,,,,,,0.0025,,,8.7,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,1.984,0.042,1.216,0.143,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,176,,,2.7,,0.28,,17,5
